number_of_transactions,parallel_time
1000,1.175447940826416
1200,1.1925196647644043
1400,1.3617429733276367
1600,1.6099016666412354
1800,1.8019094467163086
2000,1.781686782836914
2200,2.1219348907470703
2400,2.361189126968384
2600,2.566011905670166
2800,2.9718329906463623
3000,2.841510772705078
3200,3.355367660522461
3400,3.4652187824249268
3600,3.5347249507904053
3800,3.5473990440368652
4000,3.8127481937408447
4200,4.030467748641968
4400,4.094308137893677
4600,3.775261163711548
4800,4.105647325515747
5000,4.664674520492554
5200,4.17646861076355
5400,4.097368240356445
5600,4.90060567855835
5800,4.755413293838501
6000,4.714876174926758
6200,5.648449659347534
6400,5.38255500793457
6600,5.767472267150879
6800,5.970555305480957
7000,6.313983201980591
7200,5.643139839172363
7400,6.633131504058838
7600,6.059562683105469
7800,6.749917268753052
8000,6.5126049518585205
8200,6.507383584976196
8400,5.616401672363281
8600,7.166059255599976
8800,7.447555780410767
9000,7.636520624160767
9200,8.254843473434448
9400,8.190281867980957
9600,7.642279624938965
9800,8.060142517089844
10000,7.644651412963867
10200,8.050874471664429
10400,9.028820753097534
10600,8.704400539398193
10800,7.894776105880737
11000,8.910929441452026
11200,8.321354389190674
11400,8.023132562637329
11600,8.569395065307617
11800,9.106801986694336
12000,9.180839776992798
12200,8.760091066360474
12400,9.284098625183105
12600,9.383177518844604
12800,9.196597576141357
13000,9.403591394424438
13200,8.548625707626343
13400,9.145605087280273
13600,9.950040102005005
13800,9.27372121810913
14000,9.82983684539795
14200,9.509414196014404
14400,10.84597635269165
14600,10.015347480773926
14800,13.243870258331299
15000,10.108531951904297
15200,11.991870641708374
15400,12.17842698097229
15600,12.496538162231445
15800,17.190136432647705
16000,17.41357660293579
16200,17.93293046951294
16400,18.487651586532593
16600,18.168210983276367
16800,18.627562522888184
17000,18.966581344604492
17200,18.617738723754883
17400,17.57882070541382
17600,17.634875774383545
17800,17.895265340805054
18000,17.013673305511475
18200,17.75304079055786
18400,17.721224308013916
18600,17.7564857006073
18800,18.99325704574585
19000,17.828794717788696
19200,19.118521690368652
19400,18.21517038345337
19600,16.974328756332397
19800,16.47974181175232
